Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Brandon Carlo,116,22,BOS,D,72,2,8,10,22,47,4.3,2,0,0,0,6,0,2,116,1.7,1506,20:55,88,134,1,0,100.0,0.1388888888888889,0.8571428571428571,0.11904761904761904,Boston Bruins
Robert Bortuzzo,75,29,STL,D,59,2,8,10,9,47,2.8,2,0,0,0,7,0,1,75,2.7,913,15:28,72,95,0,0,,0.1694915254237288,0.7023809523809523,0.11904761904761903,St. Louis Blues
Brooks Orpik,626,38,WSH,D,53,2,7,9,8,32,2.0,2,0,0,0,7,0,0,43,4.7,830,15:40,78,131,0,0,,0.16981132075471697,0.6309523809523809,0.10714285714285714,Washington Capitals
Roman Polak,671,32,DAL,D,77,1,8,9,6,69,3.8,1,0,0,0,8,0,0,77,1.3,1476,19:10,152,191,0,0,,0.11688311688311688,0.9166666666666666,0.10714285714285714,Dallas Stars
Radim Simek,770,26,SJS,D,41,1,8,9,7,8,1.9,1,0,0,1,8,0,0,41,2.4,624,15:13,34,67,0,0,,0.21951219512195122,0.4880952380952381,0.10714285714285714,San Jose Sharks
Yannick Weber,876,30,NSH,D,62,2,6,8,7,18,2.3,2,0,0,0,6,0,0,67,3.0,739,11:55,32,64,0,0,,0.12903225806451613,0.7380952380952381,0.09523809523809525,Nashville Predators
Oliver Kylington,468,21,CGY,D,38,3,5,8,3,10,1.5,3,0,0,1,5,0,0,21,14.3,472,12:25,41,11,0,0,,0.21052631578947367,0.4523809523809524,0.09523809523809523,Calgary Flames
Joseph Morrow,583,26,WPG,D,41,1,6,7,0,20,1.1,1,0,0,0,6,0,0,40,2.5,572,13:58,37,37,0,0,,0.17073170731707318,0.4880952380952381,0.08333333333333334,Winnipeg Jets
Matt Irwin,387,31,NSH,D,44,1,6,7,5,38,1.7,1,0,0,0,6,0,0,50,2.0,497,11:18,37,80,0,0,,0.1590909090909091,0.5238095238095238,0.08333333333333334,Nashville Predators
Carl Gunnarsson,327,32,STL,D,25,3,4,7,8,6,2.0,3,0,0,1,3,0,1,21,14.3,398,15:56,35,11,0,0,,0.28,0.2976190476190476,0.08333333333333334,St. Louis Blues
Joakim Ryan,726,25,SJS,D,44,0,7,7,-1,15,0.9,0,0,0,0,7,0,0,35,0.0,562,12:46,39,43,0,0,,0.1590909090909091,0.5238095238095238,0.08333333333333334,San Jose Sharks
Kevan Miller,575,31,BOS,D,39,0,7,7,8,35,2.0,0,0,0,0,7,0,0,32,0.0,692,17:45,79,73,0,0,,0.1794871794871795,0.4642857142857143,0.08333333333333334,Boston Bruins
