Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Tyson Jost,412,20,COL,C,70,11,15,26,-2,14,2.1,7,4,0,3,14,1,0,114,9.6,910,13:00,35,48,55,91,37.7,0.37142857142857144,0.8333333333333334,0.30952380952380953,Colorado Avalanche
Ivan Barbashev,34,23,STL,C,80,14,12,26,-4,17,2.5,12,0,2,1,12,0,0,60,23.3,921,11:31,31,86,201,240,45.6,0.325,0.9523809523809523,0.30952380952380953,St. Louis Blues
Mathieu Joseph,410,21,TBL,RW,70,13,13,26,5,26,2.5,13,0,0,1,11,0,2,95,13.7,795,11:22,14,129,10,24,29.4,0.37142857142857144,0.8333333333333334,0.30952380952380953,Tampa Bay Lightning
Matt Calvert,113,29,COL,LW,82,11,15,26,-10,58,1.4,10,1,0,0,12,1,2,141,7.8,1164,14:12,51,115,40,53,43.0,0.3170731707317073,0.9761904761904762,0.30952380952380953,Colorado Avalanche
Leo Komarov,445,32,NYI,C,82,6,20,26,18,42,2.1,6,0,0,1,20,0,0,78,7.7,1139,13:53,38,203,84,100,45.7,0.3170731707317073,0.9761904761904762,0.30952380952380953,New York Islanders
Calle Jarnkrok,391,27,NSH,C,79,10,16,26,13,12,2.1,8,1,1,1,15,1,0,106,9.4,1219,15:26,22,56,166,165,50.2,0.3291139240506329,0.9404761904761905,0.3095238095238095,Nashville Predators
Andre Burakovsky,104,23,WSH,LW,76,12,13,25,2,14,2.2,11,1,0,4,13,0,0,100,12.0,846,11:08,29,35,7,13,35.0,0.32894736842105265,0.9047619047619048,0.2976190476190476,Washington Capitals
Jordan Martinook,544,26,CAR,LW,82,15,10,25,1,38,2.2,14,0,1,5,10,0,0,146,10.3,1188,14:29,46,199,150,191,44.0,0.3048780487804878,0.9761904761904762,0.2976190476190476,Carolina Hurricanes
Alexander Wennberg,880,24,CBJ,C,75,2,23,25,-1,12,0.8,0,1,1,0,16,5,2,64,3.1,1131,15:05,32,34,342,364,48.4,0.3333333333333333,0.8928571428571429,0.2976190476190476,Columbus Blue Jackets
Andrew Copp,160,24,WPG,C,69,11,14,25,20,6,2.9,10,0,1,2,14,0,0,82,13.4,839,12:10,34,71,198,160,55.3,0.36231884057971014,0.8214285714285714,0.2976190476190476,Winnipeg Jets
Mattias Janmark,390,26,DAL,C,81,6,19,25,-4,24,1.3,6,0,0,0,17,1,1,105,5.7,1233,15:13,44,28,10,16,38.5,0.30864197530864196,0.9642857142857143,0.2976190476190476,Dallas Stars
Jack Roslovic,713,22,WPG,C,77,9,15,24,-2,4,1.9,4,5,0,0,13,2,0,74,12.2,750,9:45,21,32,91,118,43.5,0.3116883116883117,0.9166666666666666,0.2857142857142857,Winnipeg Jets
Adam Lowry,511,25,WPG,LW,78,12,11,23,6,33,1.8,11,0,1,3,9,0,2,105,11.4,1142,14:38,49,223,643,473,57.6,0.2948717948717949,0.9285714285714286,0.27380952380952384,Winnipeg Jets
Cal Clutterbuck,147,31,NYI,RW,73,8,15,23,6,44,1.7,5,3,0,2,14,0,1,95,8.4,1020,13:58,40,209,15,19,44.1,0.3150684931506849,0.8690476190476191,0.2738095238095238,New York Islanders
Matthew Nieto,602,26,COL,LW,64,4,19,23,2,8,1.3,3,0,1,1,17,0,2,86,4.7,881,13:46,26,50,9,8,52.9,0.359375,0.7619047619047619,0.2738095238095238,Colorado Avalanche
Kyle Turris,851,29,NSH,C,55,7,16,23,-6,33,1.4,3,4,0,1,14,2,0,78,9.0,863,15:42,15,24,281,272,50.8,0.41818181818181815,0.6547619047619048,0.2738095238095238,Nashville Predators
Jason Dickinson,195,23,DAL,C,67,6,16,22,9,23,1.9,6,0,0,2,16,0,0,94,6.4,896,13:22,50,106,201,268,42.9,0.3283582089552239,0.7976190476190477,0.2619047619047619,Dallas Stars
